"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 23, 2019","294.50","292.00","296.50","290.75","0.54K","0.51%"
"Apr 22, 2019","293.00","290.25","293.00","289.50","0.30K","0.34%"
"Apr 18, 2019","292.00","300.00","305.00","282.25","0.98K","-2.59%"
"Apr 17, 2019","299.75","295.00","300.00","294.75","0.48K","1.70%"
"Apr 16, 2019","294.75","289.00","297.75","287.00","0.58K","1.90%"
"Apr 15, 2019","289.25","285.75","289.75","285.50","0.52K","0.70%"
"Apr 12, 2019","287.25","281.00","289.50","280.50","0.42K","2.59%"
"Apr 11, 2019","280.00","279.25","280.25","278.00","0.24K","0.36%"
"Apr 10, 2019","279.00","282.00","282.00","277.00","0.31K","-0.80%"
"Apr 09, 2019","281.25","288.00","288.25","276.50","0.61K","-2.17%"
"Apr 08, 2019","287.50","288.00","289.75","284.25","0.60K","0.00%"
"Apr 05, 2019","287.50","288.25","290.00","286.25","0.28K","-0.35%"
"Apr 04, 2019","288.50","286.00","291.00","283.75","0.76K","1.14%"
"Apr 03, 2019","285.25","277.50","288.75","277.25","0.76K","2.61%"
"Apr 02, 2019","278.00","278.00","279.00","276.25","0.18K","-0.18%"
"Apr 01, 2019","278.50","273.00","279.25","271.50","0.70K","3.53%"
"Mar 29, 2019","269.00","265.00","269.75","265.00","0.49K","1.61%"
"Mar 28, 2019","264.75","269.75","270.00","264.50","0.70K","-1.85%"
"Mar 27, 2019","269.75","272.75","274.00","267.00","0.58K","-1.19%"
"Mar 26, 2019","273.00","275.50","277.00","273.00","0.14K","-0.82%"
"Mar 25, 2019","275.25","280.00","280.00","272.75","0.26K","-1.17%"
"Mar 22, 2019","278.50","280.00","284.50","276.50","0.54K","-0.80%"
"Mar 21, 2019","280.75","273.25","281.00","272.00","0.34K","2.28%"
"Mar 20, 2019","274.50","272.75","275.00","271.00","0.26K","0.55%"
"Mar 19, 2019","273.00","278.00","279.00","271.75","0.35K","-1.80%"
"Mar 18, 2019","278.00","277.00","280.00","273.00","0.25K","0.36%"
"Mar 15, 2019","277.00","273.75","277.00","272.50","0.35K","1.21%"
"Mar 14, 2019","273.70","269.40","274.00","269.40","-","1.56%"
"Mar 13, 2019","269.50","268.80","271.40","266.40","-","0.37%"
"Mar 12, 2019","268.50","262.10","268.90","260.20","-","2.36%"
"Mar 11, 2019","262.30","263.40","264.40","262.00","-","-0.46%"
"Mar 08, 2019","263.50","265.80","265.80","262.50","-","2.93%"
"Mar 07, 2019","256.00","259.75","259.75","259.75","0.00K","-4.83%"
"Mar 06, 2019","269.00","265.70","276.70","265.30","-","0.86%"
"Mar 05, 2019","266.70","266.10","266.70","262.30","-","4.38%"
"Mar 04, 2019","255.50","256.50","256.50","256.50","0.00K","-3.40%"
"Mar 01, 2019","264.50","264.70","265.60","260.20","-","4.96%"
